subject_id,qc_group,qc_score,dice_ct_vs_real,dice_gen_vs_real,hausdorff_ct_vs_real,hausdorff_gen_vs_real
sub-1297966,HIGH,0.8155625000000001,0.8355496903867627,0.7551070157476476,55.65968020030299,4.123105625617661
sub-183791,HIGH,0.8048375000000001,0.736923400968897,0.6661993372419067,65.30696746902278,4.898979485566356
sub-1394815,LOW,0.7550250000000001,0.6451507208387942,0.7818199270493377,15.066519173319364,3.605551275463989
sub-1393791,HIGH,0.8058875000000001,0.7525370804059328,0.7632070235632474,7.211102550927978,8.48528137423857
sub-49191,LOW,0.794975,0.743007299270073,0.7923833570038399,32.7566787083184,3.605551275463989
sub-1351120,LOW,0.7952124999999999,0.7288968289414918,0.7020071149369758,56.4003546088143,4.123105625617661
sub-1362080,HIGH,0.81595,0.7949833871496093,0.832145616897055,71.26008700527947,3.3166247903554
sub-1368287,HIGH,0.800625,0.7389830508474576,0.7848452317051351,42.5440947723653,4.123105625617661
sub-165478,LOW,0.7982499999999999,0.7017106447814946,0.6809658200062716,4.58257569495584,5.744562646538029
sub-1394964,LOW,0.7955374999999999,0.659737244763362,0.6936693136950446,19.339079605813716,3.3166247903554
sub-1371709,HIGH,0.8045625,0.7664056418006137,0.7889300847457628,27.367864366808018,4.0
sub-1307952,LOW,0.766475,0.5819085369461042,0.8354391840462779,8.54400374531753,4.47213595499958
sub-1252074,LOW,0.7344624999999999,0.6032651455546814,0.8244979121097634,46.65833258915282,4.242640687119285
sub-971309,LOW,0.7642500000000001,0.8040038420706739,0.8209619257247225,4.69041575982343,3.605551275463989
sub-1417956,LOW,0.777325,0.7694892054999066,0.8126028952597218,29.086079144497972,3.7416573867739413
sub-724650,LOW,0.7765125,0.7877881906514115,0.7660417782538832,48.938737212968626,4.242640687119285
sub-1391186,HIGH,0.81335,0.8534259355239971,0.7797444974603663,45.27692569068709,4.123105625617661
sub-1370989,HIGH,0.8088500000000001,0.7593655431493269,0.7394461884458605,3.7416573867739413,3.3166247903554
sub-1275722,HIGH,0.8013125000000001,0.7698501983539582,0.7957692727074474,66.03786792439622,3.1622776601683795
sub-1300681,LOW,0.7986374999999999,0.6049175898405836,0.7433438743241865,31.78049716414141,3.605551275463989
sub-1255198,LOW,0.7834000000000001,0.7089454697547969,0.6156679543616925,51.15662224971465,5.830951894845301
sub-171298,HIGH,0.79965,0.8145621892591527,0.8662445745231553,4.123105625617661,3.1622776601683795
sub-1293262,LOW,0.7884375,0.7711583221908582,0.7560997569100567,45.71651780264984,5.656854249492381
sub-636572,HIGH,0.8086625000000001,0.7373462630085147,0.6822397801442803,62.40192304729078,7.3484692283495345
sub-1372212,LOW,0.714875,0.2757956801636484,0.7379488031914894,20.396078054371138,5.385164807134504
