"age","sex","dataset","mu","sigma","nu","tau"
78,"F","ADNI",0.00519563389209284,0.0854854333621566,1.55370728256571,18.7053241867337
78.5,"F","ADNI",0.00518459543652308,0.0858921608409435,1.55370728256571,18.7053241867337
79,"F","ADNI",0.00517361274595616,0.0863004993963277,1.55370728256571,18.7053241867337
79.5,"F","ADNI",0.00516269152407977,0.0867103669292537,1.55370728256571,18.7053241867337
80,"F","ADNI",0.00515183654634048,0.0871216779541866,1.55370728256571,18.7053241867337
80.5,"F","ADNI",0.005141052182807,0.0875343459870598,1.55370728256571,18.7053241867337
81,"F","ADNI",0.00513034102490456,0.0879482809701627,1.55370728256571,18.7053241867337
81.5,"F","ADNI",0.0051197039690038,0.0883633894265217,1.55370728256571,18.7053241867337
82,"F","ADNI",0.00510914031909659,0.0887795759893285,1.55370728256571,18.7053241867337
82.5,"F","ADNI",0.00509864712659598,0.0891967432463341,1.55370728256571,18.7053241867337
83,"F","ADNI",0.00508821987218681,0.0896147930337529,1.55370728256571,18.7053241867337
83.5,"F","ADNI",0.00507785325156568,0.0900336275028277,1.55370728256571,18.7053241867337
84,"F","ADNI",0.00506754165766408,0.090453149442659,1.55370728256571,18.7053241867337
84.5,"F","ADNI",0.00505727902369151,0.0908732629556362,1.55370728256571,18.7053241867337
85,"F","ADNI",0.00504705917531688,0.0912938740440965,1.55370728256571,18.7053241867337
85.5,"F","ADNI",0.00503687576929837,0.0917148963537201,1.55370728256571,18.7053241867337
86,"F","ADNI",0.00502672251035597,0.0921362508479552,1.55370728256571,18.7053241867337
86.5,"F","ADNI",0.00501659345050466,0.0925578656612286,1.55370728256571,18.7053241867337
87,"F","ADNI",0.00500648351975031,0.0929796835918649,1.55370728256571,18.7053241867337
87.5,"F","ADNI",0.0049963884005812,0.0934016580867342,1.55370728256571,18.7053241867337
88,"F","ADNI",0.00498630487421076,0.0938237550430651,1.55370728256571,18.7053241867337
88.5,"F","ADNI",0.00497622986991081,0.0942459420294706,1.55370728256571,18.7053241867337
89,"F","ADNI",0.00496616031695315,0.0946681866145636,1.55370728256571,18.7053241867337
89.5,"F","ADNI",0.00495609314460959,0.0950904563669574,1.55370728256571,18.7053241867337
90,"F","ADNI",0.00494602596155052,0.0955127260228595,1.55370728256571,18.7053241867337
90.5,"F","ADNI",0.00493595875650057,0.0959349954469963,1.55370728256571,18.7053241867337
91,"F","ADNI",0.00492589155145062,0.0963572648711331,1.55370728256571,18.7053241867337
91.5,"F","ADNI",0.00491582434640067,0.0967795342952698,1.55370728256571,18.7053241867337
92,"F","ADNI",0.00490575714135072,0.0972018037194066,1.55370728256571,18.7053241867337
92.5,"F","ADNI",0.00489568993630077,0.0976240731435433,1.55370728256571,18.7053241867337
93,"F","ADNI",0.00488562273125082,0.0980463425676801,1.55370728256571,18.7053241867337
93.5,"F","ADNI",0.00487555552620086,0.0984686119918169,1.55370728256571,18.7053241867337
94,"F","ADNI",0.00486548832115091,0.0988908814159536,1.55370728256571,18.7053241867337
94.5,"F","ADNI",0.00485542111610096,0.0993131508400904,1.55370728256571,18.7053241867337
95,"F","ADNI",0.00484535391105101,0.0997354202642271,1.55370728256571,18.7053241867337
45,"M","ADNI",0.00553646504450371,0.0614641674236224,1.55370728256571,18.7053241867337
45.5,"M","ADNI",0.0055277207267245,0.0618154948291287,1.55370728256571,18.7053241867337
46,"M","ADNI",0.00551897640894529,0.0621668222346351,1.55370728256571,18.7053241867337
46.5,"M","ADNI",0.00551023209116607,0.0625181496401414,1.55370728256571,18.7053241867337
47,"M","ADNI",0.00550148777338686,0.0628694770456478,1.55370728256571,18.7053241867337
47.5,"M","ADNI",0.00549274345560765,0.0632208044511541,1.55370728256571,18.7053241867337
48,"M","ADNI",0.00548399913782844,0.0635721318566605,1.55370728256571,18.7053241867337
48.5,"M","ADNI",0.00547525482004922,0.0639234592621668,1.55370728256571,18.7053241867337
49,"M","ADNI",0.00546651050227001,0.0642747866676732,1.55370728256571,18.7053241867337
49.5,"M","ADNI",0.0054577661844908,0.0646261140731795,1.55370728256571,18.7053241867337
50,"M","ADNI",0.00544902186671159,0.0649774414786858,1.55370728256571,18.7053241867337
50.5,"M","ADNI",0.00544027754893237,0.0653287688841922,1.55370728256571,18.7053241867337
51,"M","ADNI",0.00543153323115316,0.0656800962896985,1.55370728256571,18.7053241867337
51.5,"M","ADNI",0.00542278891337395,0.0660314236952049,1.55370728256571,18.7053241867337
52,"M","ADNI",0.00541404459559474,0.0663827511007112,1.55370728256571,18.7053241867337
52.5,"M","ADNI",0.00540530027781553,0.0667340785062176,1.55370728256571,18.7053241867337
53,"M","ADNI",0.00539655596003631,0.0670854059117239,1.55370728256571,18.7053241867337
53.5,"M","ADNI",0.0053878116422571,0.0674367333172302,1.55370728256571,18.7053241867337
54,"M","ADNI",0.00537906732447789,0.0677880607227366,1.55370728256571,18.7053241867337
54.5,"M","ADNI",0.00537032300669868,0.0681393881282429,1.55370728256571,18.7053241867337
55,"M","ADNI",0.00536157868891946,0.0684907155337493,1.55370728256571,18.7053241867337
55.5,"M","ADNI",0.00535283437114025,0.0688420429392556,1.55370728256571,18.7053241867337
56,"M","ADNI",0.00534409005336104,0.069193370344762,1.55370728256571,18.7053241867337
56.5,"M","ADNI",0.00533534573558183,0.0695446977502683,1.55370728256571,18.7053241867337
57,"M","ADNI",0.00532660141780261,0.0698960251557747,1.55370728256571,18.7053241867337
57.5,"M","ADNI",0.00531785684848856,0.0702473562973719,1.55370728256571,18.7053241867337
58,"M","ADNI",0.00530911031628538,0.0705987173159778,1.55370728256571,18.7053241867337
58.5,"M","ADNI",0.00530035842997085,0.0709501646779225,1.55370728256571,18.7053241867337
59,"M","ADNI",0.00529159724488697,0.0713017654848415,1.55370728256571,18.7053241867337
59.5,"M","ADNI",0.00528282281377152,0.0716535868884442,1.55370728256571,18.7053241867337
60,"M","ADNI",0.00527403118954599,0.0720056960548826,1.55370728256571,18.7053241867337
60.5,"M","ADNI",0.00526521846407944,0.0723581632122024,1.55370728256571,18.7053241867337
61,"M","ADNI",0.00525638081613801,0.0727110654199369,1.55370728256571,18.7053241867337
61.5,"M","ADNI",0.00524751444259818,0.07306448088375,1.55370728256571,18.7053241867337
62,"M","ADNI",0.00523861563538966,0.0734184911278707,1.55370728256571,18.7053241867337
62.5,"M","ADNI",0.00522968075961437,0.0737731802311659,1.55370728256571,18.7053241867337
63,"M","ADNI",0.00522070617873557,0.07412863236151,1.55370728256571,18.7053241867337
63.5,"M","ADNI",0.00521168811934284,0.0744849325923057,1.55370728256571,18.7053241867337
64,"M","ADNI",0.00520262263022199,0.0748421671732687,1.55370728256571,18.7053241867337
64.5,"M","ADNI",0.00519350574827589,0.0752004224327299,1.55370728256571,18.7053241867337
65,"M","ADNI",0.00518433347571698,0.0755597845859933,1.55370728256571,18.7053241867337
65.5,"M","ADNI",0.00517510145231095,0.0759203386811762,1.55370728256571,18.7053241867337
66,"M","ADNI",0.00516580426519708,0.0762821659419221,1.55370728256571,18.7053241867337
66.5,"M","ADNI",0.00515643546415154,0.0766453432856515,1.55370728256571,18.7053241867337
67,"M","ADNI",0.00514698821784535,0.0770099450784692,1.55370728256571,18.7053241867337
67.5,"M","ADNI",0.00513745527929966,0.0773760399854487,1.55370728256571,18.7053241867337
68,"M","ADNI",0.00512782911862069,0.0777436903221305,1.55370728256571,18.7053241867337
68.5,"M","ADNI",0.00511810229758536,0.0781129557345045,1.55370728256571,18.7053241867337
69,"M","ADNI",0.00510826764045479,0.0784838934939214,1.55370728256571,18.7053241867337
69.5,"M","ADNI",0.00509831824128153,0.0788565593120852,1.55370728256571,18.7053241867337
70,"M","ADNI",0.00508824760457787,0.0792310073877546,1.55370728256571,18.7053241867337
70.5,"M","ADNI",0.00507805045306194,0.079607288508519,1.55370728256571,18.7053241867337
71,"M","ADNI",0.00506772437898769,0.0799854462536648,1.55370728256571,18.7053241867337
71.5,"M","ADNI",0.00505726999165171,0.0803655172248843,1.55370728256571,18.7053241867337
72,"M","ADNI",0.00504669059923729,0.0807475320016786,1.55370728256571,18.7053241867337
72.5,"M","ADNI",0.00503599169536697,0.0811315162179596,1.55370728256571,18.7053241867337
73,"M","ADNI",0.00502518060937861,0.0815174909139693,1.55370728256571,18.7053241867337
73.5,"M","ADNI",0.00501426729761003,0.0819054694745147,1.55370728256571,18.7053241867337
74,"M","ADNI",0.00500326423224404,0.0822954565159869,1.55370728256571,18.7053241867337
74.5,"M","ADNI",0.00499218573077085,0.0826874482264627,1.55370728256571,18.7053241867337
75,"M","ADNI",0.004981047115441,0.0830814343749858,1.55370728256571,18.7053241867337
75.5,"M","ADNI",0.00496986409171092,0.0834774006134396,1.55370728256571,18.7053241867337
76,"M","ADNI",0.00495865249723494,0.0838753280553811,1.55370728256571,18.7053241867337
76.5,"M","ADNI",0.00494742809793579,0.0842751920362844,1.55370728256571,18.7053241867337
77,"M","ADNI",0.00493620625836527,0.0846769594200175,1.55370728256571,18.7053241867337
77.5,"M","ADNI",0.00492500168582237,0.0850805885269309,1.55370728256571,18.7053241867337
