participant_id	cjv	cnr	efc	fber	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	icvs_csf	icvs_gm	icvs_wm	inu_med	inu_range	qi_1	qi_2	rpve_csf	rpve_gm	rpve_wm	size_x	size_y	size_z	snr_csf	snr_gm	snr_total	snr_wm	snrd_csf	snrd_gm	snrd_total	snrd_wm	spacing_x	spacing_y	spacing_z	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_csf_k	summary_csf_mad	summary_csf_mean	summary_csf_median	summary_csf_n	summary_csf_p05	summary_csf_p95	summary_csf_stdv	summary_gm_k	summary_gm_mad	summary_gm_mean	summary_gm_median	summary_gm_n	summary_gm_p05	summary_gm_p95	summary_gm_stdv	summary_wm_k	summary_wm_mad	summary_wm_mean	summary_wm_median	summary_wm_n	summary_wm_p05	summary_wm_p95	summary_wm_stdv	tpm_overlap_csf	tpm_overlap_gm	tpm_overlap_wm	wm2max
sub-0881	0.351540287	3.538782618	0.428815605	9324.942383	4.37288538	4.151712	4.657205333	4.309738807	0.211488805	0.413340734	0.375170461	1.287617445	0.386722857	5.70E-05	0.006315226	30.6126363	16.13780874	21.03670255	240	256	208	2.811122891	12.14482291	15.4893556	31.51212099	47.88838489	113.8313699	104.3778893	151.413913	0.9375	0.9375	0.999923706	2766.345406	4.326829433	5.292123795	2.918401957	4614479	0	14.57135592	8.996446609	17.93572463	87.1911087	346.9377136	316.2774658	27947	219.5747498	549.5768738	112.5072861	0.049575234	60.53413391	755.6264038	751.7960205	19978	660.4068909	865.377298	61.90104294	1.636687959	26.72267532	997.8392334	1000.00885	199618	940.964444	1044.583929	31.73402214	0.243330896	0.502600551	0.560121894	0.682202884
sub-0882	0.359562267	3.55181616	0.493038161	6084.660645	4.477126068	4.195018667	4.907594667	4.328764871	0.228099839	0.401077003	0.370823158	1.230398059	0.397495127	0	0.007509113	25.43403343	14.39784063	18.59864022	240	256	208	3.209017098	12.0221528	14.65699075	28.73980236	35.66801038	84.78886944	78.03310543	113.6424365	0.9375	0.9375	1.000038147	38.61018603	5.764968395	6.351112366	3.888411999	4546732	0	19.29112797	6.926045418	1.166478992	73.66001129	339.204834	313.8658752	48559	223.0983749	540.8271912	97.80647278	0.093093045	61.37773132	747.8919067	746.1120605	17686	651.1996002	856.5270844	62.05968094	1.441550061	29.91555405	998.7720337	1000.013245	224583	939.8303223	1052.989478	34.79533386	0.238628224	0.491085678	0.557791054	0.665919716
sub-0883	0.374402201	3.168894086	0.491578545	11497.45313	4.549136535	4.365408	4.895712	4.386289606	0.208346106	0.421943652	0.369710241	1.205645084	0.435240632	0	0.007220704	24.33422761	12.41460201	16.48429451	240	256	208	3.183055574	12.10095377	11.5101927	19.24656876	52.7918467	115.5970073	107.8964476	155.3004888	0.9375	0.9375	1.000022888	19.95470577	4.218541622	4.751255035	2.846180439	3934577	0	14.09626293	5.067428112	0.211521672	95.21740723	367.8347473	339.9362488	36162	233.1723846	562.6652222	106.7940979	0.556925814	55.63916779	751.2471313	744.3500366	29242	661.4036865	863.7491455	61.51063156	0.806607693	40.07971191	990.6010132	1000.007935	243512	883.0617432	1058.447241	51.95761871	0.229153529	0.50032866	0.536460161	0.689402654
sub-0884	0.341253192	3.890908659	0.44638511	9788.075195	4.528035812	4.271626667	4.869674667	4.442806104	0.200082036	0.422691722	0.377226243	1.190917492	0.353339875	4.65E-06	0.004255073	29.03983365	14.51066401	19.14567393	240	256	208	2.390504688	13.14598179	14.53564571	28.07045066	52.02887543	112.6707634	105.668506	152.3058792	0.9375	0.9375	1.000007629	97.36638339	4.301490784	5.197228909	2.901311398	4242494	0	14.48817635	6.130363464	40.95863048	108.9880981	370.8765869	341.6109009	29691	223.8598251	551.5621338	142.9008484	-0.213385403	57.9669075	742.4576416	739.7730713	33146	654.8244629	839.4146881	56.27285385	1.726524581	30.83946609	997.1252441	1000.009094	229288	933.918335	1048.487225	35.624897	0.239991888	0.524039686	0.570511878	0.669170914
sub-0885	0.365670058	3.536824126	0.459455402	25960.90234	4.552782444	4.315456	4.950421333	4.39247	0.209203604	0.407085747	0.383710649	1.169228911	0.384998548	0.035368091	0.009578433	28.27142717	15.04039847	19.15595994	240	256	208	3.301465352	13.13839108	15.06522775	28.7558268	43.80521021	89.37961701	83.57553833	117.5417878	0.9375	0.9375	1	25.64225746	5.573690414	4.502235413	3.75939703	3380995	0	11.46350851	5.487504005	0.5575907	131.9728241	388.0358582	372.6806946	30772	234.4236717	570.2520142	112.8815842	-0.069545625	58.26308441	761.5654297	760.413147	24881	669.4817505	858.6552734	57.87602615	1.472915546	29.34953308	997.1826172	1000.007874	235485	933.8817627	1048.399756	34.77576065	0.24493897	0.508938432	0.57056427	0.687114115
sub-0886	0.464876861	2.719039206	0.482012891	11003.81738	4.209862314	4.066954667	4.419530667	4.143101609	0.20071363	0.408854115	0.390432255	1.175982475	0.394392574	1.47E-06	0.00551714	26.19369284	13.45099419	16.83883317	240	256	208	3.113556386	10.8340194	14.14754782	28.49506768	58.33716887	114.4152544	106.3928459	146.4261145	0.9375	0.9375	0.999992371	72.31361861	4.474235058	4.556141376	3.017825603	4502021	0	12.12565994	5.591032982	10.83601431	132.3597565	409.9487	398.4120178	27171	237.5193634	608.9371948	127.9580765	-0.197183562	71.90629578	788.071228	781.3956909	22977	679.565979	916.3252075	72.12269592	1.717345859	29.72380447	998.9512329	1000.012939	252067	940.0094604	1052.995166	35.09417725	0.220276639	0.495676011	0.540854573	0.732111506
sub-0887	0.433676634	3.064531916	0.500535976	8885.418945	4.673884444	4.578272	4.928821333	4.51456	0.227256912	0.374186821	0.398556267	1.168254137	0.378434312	3.28E-06	0.00665194	23.54740813	13.76757876	16.02957624	240	256	208	3.438945319	12.89240766	14.92554344	28.44527733	47.63605485	116.5139996	104.2516779	148.6049792	0.9375	0.9375	1	19.11821039	4.408679008	5.157872677	2.973608732	3983097	0	14.83692398	5.603497982	1.336771955	70.60951996	343.9442139	320.5623779	53110	231.5056343	533.0241943	93.21443939	-0.215749513	63.13492966	783.0178833	784.0700684	23627	682.1528748	880.6322876	60.81513214	1.357064692	30.5189476	999.7353516	1000.023315	287593	941.4255737	1055.846777	35.15597916	0.231332198	0.463196158	0.549377501	0.734536867
sub-0888	0.450302083	3.023441929	0.52579939	748.0892334	4.415990412	4.307466941	4.426442948	4.514061346	0.229381163	0.394631546	0.375987291	1.932347536	0.897396988	0	0.008083502	22.07268494	12.33864957	15.15479923	240	256	208	4.227815821	11.38504498	12.74621362	22.62578005	37.89384414	89.06511899	81.52566532	117.6180328	0.93749994	0.93749994	0.999946535	10.40305016	5.57016468	21.83398247	21.14151382	3900054	10.67621961	36.6692749	8.358789444	4.590846332	55.65020752	335.8666992	322.1847534	68152	240.0834351	485.965506	76.20539856	-0.130484974	67.10739136	755.5910034	757.2581787	21281	643.8962402	861.9692993	66.51184845	0.610131348	42.2103653	999.0508423	1000.02356	235085	925.0422974	1069.507642	44.19831848	0.219675332	0.458077639	0.50929302	0.675229753
sub-0889	0.382770242	3.420437378	0.515554876	728.2964478	4.535261433	4.376554388	4.64464	4.584589911	0.236804788	0.399536138	0.363659074	2.094626665	0.928017032	0	0.011434084	22.66251092	12.93345489	16.6736382	240	256	208	4.332552895	11.78978024	14.22717726	26.55919863	45.71940191	102.043442	94.79889592	136.6338439	0.93750006	0.9375	0.999969482	4.279914835	4.79489851	19.7196312	18.35807228	3188420	11.43206549	32.23584423	6.920968056	1.942605525	65.76940918	346.4795837	334.6171875	55650	243.0592247	488.1977844	77.23256683	0.186475511	61.18910599	746.2737427	746.848999	22455	641.7760132	850.700592	63.34574127	0.564391067	35.71484375	998.5307617	1000.013794	219630	934.1157867	1057.252655	37.65217209	0.219724789	0.474888533	0.517818332	0.815291811
sub-0890	0.339905199	3.884775546	0.460229573	1265.169312	4.43006057	4.21888	4.540191711	4.53111	0.196403059	0.413948289	0.389648652	1.967034936	0.75792855	0	0.009761898	29.47019748	14.66772633	18.33934672	240	256	208	3.49801513	11.78438135	15.10544174	30.03392874	53.67591712	121.163112	113.8419288	166.6867572	0.9375	0.93750006	1	9.748506498	3.93032074	15.23332405	15.10356331	5241139	7.657475853	24.78960857	5.407351494	34.24916975	65.10881042	341.3778687	322.01474	41691	233.2593765	503.0917206	92.05531311	0.005982852	62.37453461	726.999939	726.8866577	24751	625.98349	827.1281128	61.68096161	1.204103187	30.45605659	999.6998901	999.9939575	226165	945.1636597	1052.407324	33.29540253	0.244735673	0.506813288	0.5674932	0.865822182
